Item (ex. Surgical Gloves),Manufacturer ,Quantity (ex. 200),,,
Medical Bandages,Unknown,7,,,
PVC nasopharyngeal airway,Unknown,1,,,
Flexor Check-Flo Introducer,Unknown,1,,,
Tear away gown,Unknown,10,,,
EKG Electrode,Unknown,8,,,
Plastic (boot shaped),Unknown,29,,,
Silk adhesive with holes,Unknown,5,,,
Blood Transfer Drive,Unknown,1,,,
medication transfer bag,Unknown,1,,,
Pipette ,Unknown,150,,,
Miscellaneous ,Unknown,70,,,
Jug,Unknown,7,,,
Jugs,Unknown,10,,,
Immunoglobulin tube brown ,Unknown,35,,,
50mL test tubes,Unknown,8,,,
bandaids,Unknown,12,,,
Small test tubes,Unknown,482,,,
Subassembly Bag G ,Unknown,45,,,
Serum D Pl(ctDNA) kit ,Unknown,30,,,
Transporte tape,Unknown,7,,,
Cups,Unknown,150,,,
Long thbe,Unknown,1,,,
Gown,Unknown,1,,,
Tubes ,Unknown,150,,,
Specimen Transport Bags,Unknown,7,,,
Red Cap Tubes,Unknown,25,,,
Centerfuge Tubes ,Unknown,7,,,
blue clips,Unknown,2,,,
"Blood Draw Kits, Orange Cap",Unknown,15,,,
Bio sample Bags,Unknown,4,,,
MISC Test Tubes ,Unknown,70,,,
Oxygen Mask ,Unknown,10,,,
Pippets,Unknown,17,,,
Urine Transfer Straw Kit ,Unknown,6,,,
Test Tubes ,Unknown,23,,,
Electrodes,Unknown,10,,,
Tubing,Unknown,40,,,
3M tape,Unknown,3,,,
Urine Collectors ,Unknown,3,,,
Spinal needle,Unknown,4,,,
Test tubes ,Unknown,600,,,
100 other test tubes ,Unknown,100,,,
Metal pieces,Unknown,8,,,
nebulizer,Unknown,1,,,
Assorted sutures,Unknown,10,,,
"Tubes, green and purple cap",Unknown,400,,,
Pressure guide wire,Unknown,3,,,
Dialysis Tube    ,Unknown,4,,,
Trays,Unknown,50,,,
Pipe Cleaner ,Unknown,60,,,
Endovascular Snare System,Unknown,1,,,
Pressure Tubing ,Unknown,1,,,
Teal Surgical Pad,Unknown,2,,,
30 mL Glass Bottle,Unknown,3,,,
Tube Caps,Unknown,50,,,
Roll of Gauze,Unknown,1,,,
Bandaging,Unknown,1,,,
washcloth,Unknown,5,,,
Time of Death Tag Packs,Unknown,17,,,
Compression Sleeve,Unknown,9,,,
Foam,Unknown,1,,,
Bras,Unknown,5,,,
Knee Brace,Unknown,3,,,
Arm Brace,Unknown,1,,,
Pillow,Unknown,1,,,
Soap Dishes,Unknown,25,,,
Chux ,Unknown,10,,,
various test tubes ,Unknown,24,,,
Cup lids,Unknown,100,,,
clear test tubes ,Unknown,10,,,
test tubes ,Unknown,10,,,
Pediatric Arm Splint,Unknown,2,,,
Sutures,Unknown,40,,,
Blood draw kits,Unknown,50,,,
spinal needle,Unknown,1,,,
Purple Caps,Unknown,100,,,
Blood draw needles,Unknown,75,,,
Clear collection vials,Unknown,50,,,
needle connected to tubing,Unknown,1,,,
spray bottle top,Unknown,2,,,
cloth? ,Unknown,12,,,
Materials for IG collection ,Unknown,20,,,
Microscope slides,Unknown,2,,,
Finger sock,Unknown,5,,,
stool collection kit ,Unknown,3,,,
Blood Collection Kit,Unknown,70,,,
Vials,Unknown,100,,,
compression glove,Norco,1,,,
single use syringes 2 piece ,Norm-Ject,100,,,
syringe,Norm-Ject,14,,,
Norm-Ject Luer Lock Solo,Norm-Ject,75,,,
Personal Use Pack,OC-Auto,7,,,
Balloon,Olympus,3,,,
"Thunderbeat 5mm, 35cm front-actuated grip type S",Olympus,1,,,
Unscheduled PK,OncoBay,15,,,
DNA collection kit ,Oragene Dx,7,,,
blood draw kits + tubes ,PACE,20,,,
Diapers,Pampers,5,,,
Training underwear,Pampers,18,,,
Diapers ,Pampers,4,,,
Diapers ,Pampers,4,,,
Wipes,Pampers,56,,,
diapers ,Pampers ,64,,,
Stool Specimen Cup ,Para-Pak,1,,,
Probe cover,Parker laboratories,9,,,
ultrasounds transmission gel ,Parker Laboratories ,288,,,
Peripheral orbital system,Pas Technology ,1,,,
Povidone-Iodine Swabstick,PDI,5,,,
Providone iodine swabstick ,PDI,5,,,
Drill kit,Phasor,1,,,
Drill With Kit,Phasor,1,,,
drill with kit,Phasor,1,,,
Wee Soothie (pacifier),Philips,1,,,
Newborn Pacifier,Philips,1,,,
Nose cushion,Philips,2,,,
straight connector,Pleur-evac,1,,,
Wireless Chair Sensor pad,Posey,1,,,
Pulse Oximeter Probe Wraps,Posey,12,,,
battery,ProCell,1,,,
Sterile Polyester Tipped Applicators,Puritan,1,,,
Sterile Rayon Tipped Applicator,Puritan,24,,,
Sterile Rayon Tipped Applicator,Puritan,25,,,
Sterile Rayon Tipped Applicator,Puritan,23,,,
Gel wrap,Quintiles Laboratories ,4,,,
gel wrap,Quintiles Laboratories ,14,,,
Gel Packs,Quintiles Laboratories ,20,,,
Aspirator,Radiometer,1,,,
Clinitubes,Radiometer,1,,,
Aerosol Filter Mask,Respan,3,,,
Calcium Alginate Dressing,Restore ,10,,,
hydrocolloid dressing ,Restore ,5,,,
Finger Splints,Richardson Products,2,,,
Nail,Saint Johns,1,,,
Nasal Divided Cannula,Salter Labs,1,,,
Nasal Cannulas,Salter Labs,3,,,
"Test Tube, White",Sarstedt ,100,,,
"UPEP Tube, Red",Sarstedt ,100,,,
Safety Multifly Needle,Sarstedt ,1,,,
Probe Covers,Sheathes,75,,,
"Uncuffed Tracheal Tube, Murphy Eye, Oral/Nasal",Sheridan ,1,,,
Tracheal Tube,Shiley,2,,,
Disposable Inner Canula,Shiley,1,,,
Heart Pillow (literally),Shumsky ,1,,,
Orange Sample Canister,Simport,1,,,
Forceps,Sklar,4,,,
ROCH-PEAN FORCEPS,Sklar,2,,,
Forceps ,Sklar,25,,,
Dressing Forcep Serrated,Sklar,1,,,
Forceps,Sklar,3,,,
Forceps,Sklar,25,,,
Roch pean forceps,Sklar,25,,,
mayo hegar,Sklar,2,,,
Iris Scissors 4.5’’,Sklar,1,,,
MAYO scissors ,Sklar,1,,,
ROCH-PEAN FORCEPS,Sklar,16,,,
Surgical scissors ,Sklar,3,,,
scissors,Sklar,4,,,
Magil cath fcp ,Sklar ,1,,,
Tracheostomy ,Smith & Nephew,9,,,
Allevyn tracheostomy ,Smith & Nephew,1,,,
Bandage,Smith & Nephew,200,,,
Bandages,Smith & Nephew,5,,,
Allevyn classic,Smith & Nephew,10,,,
Allevyn non adhesive,Smith & Nephew,4,,,
Epidural Catheter,Smiths Medical,6,,,
Epidural Catheter,Smiths Medical,4,,,
Catheter Connector,Smiths Medical,6,,,
tracheostomy tube ,Smiths Medical,1,,,
Resistance syringe ,Smiths Medical,2,,,
Silicone Tracheostomy Tube,Smiths Medical,1,,,
Foley Catheter,Smiths Medical,14,,,
IV Catheter,Smiths Medical,1,,,
Syringe and Needle,Smiths Medical,1,,,
Luer Lock Plug,Smiths Medical,210,,,
Luer lock plug ,Smiths Medical,39,,,
Cadd extension set,Smiths Medical,1,,,
Line draw arterial blood sampling kit,Smiths Medical,2,,,
Hypodermic Needle Pro Safety Device ,Smiths Medical,25,,,
Hypodermic Needle,Sol-Millennium,100,,,
Suction safe ,Unknown,1,,,
paper ,Standard Register,1,,,
Plastic circle attachments,Steelcase,50,,,
Suction Valve,Storz,3,,,
Color cuff,Stryker,1,,,
PrimaFit device ,Stryker,1,,,
Suction Sleeve,Stryker,18,,,
Nasopore 8cm,Stryker,1,,,
Nasopore 4cm,Stryker,2,,,
mayo scissor straight ,Stryker,4,,,
Suction swab,Stryker,1,,,
Microcatheter ,Stryker,1,,,
Neuro Guidewire with Hydrophilic coating ,Stryker,2,,,
2% Chlorhexidine Gluconate Cloth,Stryker,24,,,
Washclothes,Stryker,4,,,
Pediatric Bougie Endotracheal Tube Introducer,SunMed,1,,,
Bougie Endotrachael Tube Introducer,SunMed,1,,,
Bougie Endotracheal Tube Introducer,SunMed,20,,,
Introducer ,SunMed ,2,,,
Foley Tray System,SureStep,1,,,
surgical lubricant,Surgilube,1,,,
Non sterile barrier,Symmetry Surgical,1,,,
Disposable single electrode,Technomed,1,,,
hemostatic dressing ,Teleflex,1,,,
Intubating Stylet,Teleflex,1,,,
Bladder catheter tiemann ,Teleflex,2,,,
Flex Tube,Teleflex,5,,,
PVC Nasopharyngeal Airway,Teleflex,2,,,
disposable endotracheal Stylet,Teleflex,1,,,
Madgic ,Teleflex,1,,,
"Blade, Rusch Standard Miller #0 (kigreca)",Teleflex,1,,,
"Blade, Rusch Standard Miller #1 (cozmo)",Teleflex,1,,,
"Blade, Rusch Standard Miller #3",Teleflex,1,,,
"Blade, Rusch Standard Miller #2 (cozmo)",Teleflex,1,,,
"Blade, Rusch Standard Macintosh #3 (cozmo)",Teleflex,1,,,
"Blade, Rusch Standard Macintosh #4 (gladysa)",Teleflex,1,,,
"Blade, Rusch Standard Macintosh #2 (dburmei)",Teleflex,8,,,
Pediatric Medium Concentration Oxygen Mask,Teleflex,9,,,
Larygngeal Tracheal,Teleflex,1,,,
Laryngeal Tracheal Tubing,Teleflex,1,,,
Adult Non-Rebreathing Mask with Safety Vent and Tubing,Teleflex,1,,,
medium titanium ligating clips,Teleflex,1,,,
Humidifier Adapter,Teleflex,1,,,
single-lumen infusion catheter ,Teleflex,1,,,
High Volume Tapered Cuffed Tracheal Tube ,Teleflex,2,,,
Airway,Teleflex,1,,,
Aerosol Face Tent,Teleflex,47,,,
Intubation Stylet,Teleflex,2,,,
Flat epidural filter,Teleflex,2,,,
Tracheal Tube,Teleflex,2,,,
Kit A: Archived Tumor Collection,Tempest Therapeutics,6,,,
Kit B: Paired Biopsy Collection,Tempest Therapeutics,11,,,
kit H: gene expression collection ,Tempest Therapeutics,7,,,
Kit E: Urine for PGE-M and Thromboxane,Tempest Therapeutics,6,,,
kit n: ctdna collection ,Tempest Therapeutics,3,,,
kit s: urine serum plasma and gene expression ,Tempest Therapeutics,1,,,
Kit G: TPST PD Collection (2TP),Tempest Therapeutics,2,,,
kit o: biopsy collection ,Tempest Therapeutics,3,,,
Kit I: Gene Expression Collection (2TP),Tempest Therapeutics,7,,,
kit k : whole blood collection ,Tempest Therapeutics,3,,,
Infant Tether,TenderCare,100,,,
catheter exchange,Terumo,1,,,
Glidewire,Terumo,2,,,
Catheter ,Terumo,4,,,
Pinnacle,Terumo,1,,,
Pinnacle ,Terumo,1,,,
Glidesheath access kit ,Terumo,1,,,
TR band,Terumo,5,,,
Guide Wire M,Terumo,1,,,
Syringe without needle,Terumo,50,,,
Introductor sheath ,Terumo ,1,,,
Introducer Sheath,Terumo ,12,,,
Guiding sheath,Terumo ,1,,,
Disposable Nitrile Gloves xs,Test Equity,100,,,
"polar pack (4 small, 2 big) ",Thermosafe,6,,,
Red Bag,TIDI Products,1,,,
Disposable syringes without needle,TKMD,2,,,
Disposable Syringe Without Needle,TKMD,200,,,
disposable syringe without needle ,TKMD,93,,,
Safety Needle ,TKMD,203,,,
Safety Needle,TKMD,200,,,
Disposable Syringe,TKMD,280,,,
Clear Tape ,Transpore,9,,,
medical tape,Transpore,1,,,
Surgical Gloves,Triumph,1,,,
socks,UltraCare,4,,,
scale,Unknown,1,,,
Misc. (test tubes - multiple sizes),Unknown,150,,,
Bedpans,Unknown,3,,,
Loose scissors ,Unknown,1,,,
Fluid path,Unknown,1,,,
Gloves (XL),Unknown,230,,,
Contact layer silver,Urgo,8,,,
Contact Layer,Urgo,5,,,
Silver dressing ,VAC,2,,,
Balloon Expandable Biliary Stent,Valeo,2,,,
Syringe Needle,VanishPoint,50,,,
Vanishpoint syringe,VanishPoint,100,,,
GlideScope,Verathon,2,,,
Glidescope ,Verathon,10,,,
Gvl 1 stat glide scope ,Verathon,5,,,
Tissue oximeter,ViOptix,1,,,
Sewn Band Bag,Vital Care Industries,1,,,
Small Volume Nebulizer,VixOne,1,,,
95 kPa specimen transport bag,Unknown,15,,,
Disposable Pad Cover,Vyaire,3,,,
cathnglove kit,Vyaire,1,,,
suction cap and glove kit,Vyaire,2,,,
connector,Vygon ,30,,,
Umbilical catheter,Vygon ,1,,,
Gastric tube,Vygon ,1,,,
transfusion catheter kit ,Vygon ,1,,,
Exchange Transfusion set,Vygon ,1,,,
Exchange transfusion set,Vygon ,1,,,
Alcohol swaps,Webcol,2,,,
Specula,Welch Allyn,15,,,
Pediatric Single Use Specula,Welch Allyn,850,,,
Single Use Adult Specula,Welch Allyn,850,,,
Replacement lamp,Welch Allyn,1,,,
Probe Well Kit,Welch Allyn,1,,,
Small Volumr nebulizer,West Med,1,,,
Prep Resistant Skin Marker,WriteSite Plus,1,,,
Start up kit ,Zoll,1,,,
