Pallet,"Month, Year",Timestamp,Item (ex. Surgical Gloves),Manufacturer ,Quantity (ex. 200),Expiration date (ex. 12/31/2024),Category,Notes,Pallet Number (Blueprints member will give this),Box Number (Blueprints member will give this)
,,2/9/2024 16:37:45,Dual lumen stomach tube,Covidien ,1,,Catheters/tubing,,12,23
,,2/9/2024 16:37:56,Cups,,150,,,,12,19
,,2/9/2024 16:38:00,Big giant sponge ,No manufacturer listed,,12/12/2900,Hygiene,,12,19
,,2/9/2024 16:38:10,Anesthesia Mask,Medline,1,,Other,,12,18
,,2/9/2024 16:38:11,Urine test instructions ,No manufacturer listed,3,,Diagnostic,,12,23
,,2/9/2024 16:38:18,1mL Syringe ,BD,1,8/31/2028,Syringe/needles,,4,18
,,2/9/2024 16:38:19,MiniCap with Povidone Iodine Solution,baxter,1,4/30/2025,Other,,12,18
,,2/9/2024 16:38:22,Long thbe,,1,,Catheters/tubing,,12,23
,,2/9/2024 16:38:43,Border Heel,Mepilex,10,5/28/0024,Bandages/gauze,,12,19
,,2/9/2024 16:38:45,Gravity set,BD,1,,Catheters/tubing,,12,23
,,2/9/2024 16:38:59,Safety glide needle,BD,1,4/30/2027,Syringe/needles,,12,18
,,2/9/2024 16:39:15,Anti-Siphon Valve,Medstream,2,,Catheters/tubing,,12,23
,,2/9/2024 16:39:16,Blood Collection Tubes,BD,200,1/31/2024,Diagnostic,,12,19
,,2/9/2024 16:39:40,Forceps ,Sklar,25,1/28/2023,Surgical,,12,25
,,2/9/2024 16:39:58,All purpose urethral catheter,BD,1,8/31/2026,Catheters/tubing,,12,18
,,2/9/2024 16:39:59,Deep Convex urostomy pouch,Convex,1,12/9/2024,,,12,19
,,2/9/2024 16:40:04,Blood transfer device,BD,1,10/31/2026,Other,,12,18
,,2/9/2024 16:41:06,Border Post-up,Mepilex,2,7/26/2026,Surgical,,12,19
,,2/9/2024 16:41:11,Plastic Pad Large,No manufacturer listed,3,12/12/2900,Hygiene,,12,19
,,2/9/2024 16:41:23,protected disposable Scalpel stainless steel blade,bard-parker,1,1/29/2029,Surgical,,4,18
,,2/9/2024 16:41:27,Replacement lamp,WelchAllyn,1,,Other,,12,18
,,2/9/2024 16:41:47,Gauze,No manufacturer listed,50,,Bandages/gauze,,12,26
,,2/9/2024 16:41:58,Non-conductive connecting tube 20’ length,Medline,2,2/29/2028,Catheters/tubing,,12,19
,,2/9/2024 16:42:02,Pediatric underbody ,Gentherm ,6,,Other,,12,26
,,2/9/2024 16:42:13,Cleanser ,Medline Remedy ,5,,Hygiene,,12,26
,,2/9/2024 16:42:55,Blood collection set,BD,12,,,,12,26
,,2/9/2024 16:43:11,Cytology brush,No manufacturer listed,1,,Diagnostic,,12,26
,,2/9/2024 16:43:27,Administration kit,BD,1,,Catheters/tubing,,12,26
,,2/9/2024 16:43:28,Urethral Catheter,Bard,8,8/31/2026,Catheters/tubing,,12,19
,,2/9/2024 16:43:30,Elastic Net,Medline,2,,Bandages/gauze,,12,19
,,2/9/2024 16:44:03,Medipore ,3M,1,12/17/2026,Hygiene,,12,18
,,2/9/2024 16:44:05,Bottle Atomizer,MADomizer,1,9/11/2026,Other,,12,19
,,2/9/2024 16:45:11,Holter/telemetry pouch,Covidien ,5,,Other,,12,19
,,2/9/2024 16:45:44,Gown,,1,,PPE,,12,19
,,2/9/2024 16:46:06,Radial access catheter ,Medtronic,2,,Catheters/tubing,,12,27
,,2/9/2024 16:46:30,Breast pump kit,Medela ,1,12/26/2026,Other,,12,19
,,2/9/2024 16:46:37,Flexor check flo,Cook Med,1,,Surgical,,12,27
,,2/9/2024 16:46:52,Disposable Pad Cover,Vyaire,3,8/15/2022,Other,,12,19
,,2/9/2024 16:46:53,Gauze Sponges,Medline,9,,Bandages/gauze,,12,19
,,2/9/2024 16:46:53,straight connector,pleur evac,1,7/19/2026,Other,,4,18
,,2/9/2024 16:46:58,luer lock adapter 4 inch,Fresenius medical care,1,9/30/2026,Other,,12,18
,,2/9/2024 16:47:02,Side-Arm Introducer,Cook Med,1,1/12/2024,Catheters/tubing,,12,27
,,2/9/2024 16:47:23,Optifoam basic,Medline,9,,Bandages/gauze,,12,19
,,2/9/2024 16:47:30,Venous walkstent,Boston Scientific,1,1/12/2024,Surgical,,12,27
,,2/9/2024 16:48:16,Oral/Nasal Tracheal Tube,Covidien ,2,7/27/2027,Catheters/tubing,,12,19
,,2/9/2024 16:48:32,Syringe,BD,1,11/30/2028,Syringe/needles,,12,18
,,2/9/2024 16:48:40,Push button,BD,10,7/31/2025,Syringe/needles,,12,19
,,2/9/2024 16:49:29,Enteral Funnel ENFit Transition connector with cap,cedic srl,1,7/26/2025,Syringe/needles,,4,18
,,2/9/2024 16:49:39,Microscope Slide,GLOBE,9,,Diagnostic,,12,9
,,2/9/2024 16:49:44,Female Luer,AMT,8,5/1/2024,Other,,12,19
,,2/9/2024 16:49:45,ROCH-PEAN FORCEPS,Sklar Sterile,16,12/12/2900,Surgical,,12,19
,,2/9/2024 16:49:58,Hydrophilic foam dressing,Kendall,4,,Other,,12,19
,,2/9/2024 16:50:00,FloQSwabs,Copan,22,11/30/2025,Diagnostic,,12,19
,,2/9/2024 16:50:24,DNA Collection Kit,Genotek ,5,,Diagnostic,,12,9
,,2/9/2024 16:50:47,Surgical scissors ,Sklar Sterile,3,12/12/2900,Surgical,,12,19
,,2/9/2024 16:51:16,Tubes ,,150,,Catheters/tubing,,12,9
,,2/9/2024 16:51:40,Ballon catheter,Chocolate,1,1/25/2024,Catheters/tubing,,12,28
,,2/9/2024 16:51:44,Peripheral orbital system,Pas technology ,1,,Other,,12,28
,,2/9/2024 16:51:46,Surgical gloves,Biogel,2,2/26/2028,PPE,,12,19
,,2/9/2024 16:51:52,alcohol prep pads,Cardinal Health,2,,Hygiene,,12,18
,,2/9/2024 16:51:57,Medical Bandages,Unnamed ,7,1/1/0001,Bandages/gauze,,12,19
,,2/9/2024 16:51:58,Catheter ,Temuro ,4,,Catheters/tubing,,12,28
,,2/9/2024 16:52:03,Filter needle,BD,50,3/31/2027,Syringe/needles,,12,19
,,2/9/2024 16:52:06,Non-pyrogenic Fluid path,ICU Medical,13,1/10/2028,Catheters/tubing,,12,19
,,2/9/2024 16:52:09,Specimen Transport Bags,,7,,PPE,,12,9
,,2/9/2024 16:52:26,Guiding sheath,Terumo I ,1,,Catheters/tubing,,12,28
,,2/9/2024 16:52:41,Spider FX,No manufacturer listed,1,1/31/2024,Catheters/tubing,,12,28
,,2/9/2024 16:53:00,Red Cap Tubes,,25,,Catheters/tubing,,12,9
,,2/9/2024 16:53:05,Facioplasty elastic support,Jobst,2,,Other,,12,19
,,2/9/2024 16:53:11,Coronary stent system,Biotronik,1,,Other,,12,28
,,2/9/2024 16:53:33,Needles ,BD,7,,Syringe/needles,,12,9
,,2/9/2024 16:53:35,GLIDESCOPE,GlideScope ,4,2/2/2026,Surgical,,12,19
,,2/9/2024 16:54:00,Tubing ,Merit Medical,4,2/2/2024,Catheters/tubing,,12,28
,,2/9/2024 16:54:04,Depth Locator,Manta,5,1/6/2024,Diagnostic,,12,28
,,2/9/2024 16:54:05,Catheter Exchange Long Taper,Glidwider,5,1/31/2024,Catheters/tubing,,12,28
,,2/9/2024 16:54:13,Single use laryngeal mask ,Ambu,1,3/25/2025,Catheters/tubing,,12,19
,,2/9/2024 16:54:33,Blood Collection Needles,BD,14,,Syringe/needles,,12,9
,,2/9/2024 16:54:38,Calcium Alginate Dressing,Restore ,10,4/4/2028,Bandages/gauze,,12,19
,,2/9/2024 16:54:44,Start up kit ,Zoll,1,,Other,,12,28
,,2/9/2024 16:54:46,72” arterial pressure tubing,Icumedical,3,9/1/2025,Catheters/tubing,,12,19
,,2/9/2024 16:54:46,Precision glide needle,Cardinal Health,1,11/30/2028,Syringe/needles,,12,18
,,2/9/2024 16:54:58,Urine collection bag,Conveen,2,5/29/2026,Other,,12,19
,,2/9/2024 16:55:05,Catheter tube,Coloplast ,20,10/8/2028,Catheters/tubing,,12,19
,,2/9/2024 16:55:15,Centerfuge Tubes ,,7,,Catheters/tubing,,12,9
,,2/9/2024 16:55:20,Introductor sheath ,Terumo ,1,,,,12,28
,,2/9/2024 16:55:51,3mL Syringe,BD,13,10/31/2027,Syringe/needles,,12,19
,,2/9/2024 16:56:03,Non-DEHP micro volume extension set ,Baxter,1,,Catheters/tubing,,12,19
,,2/9/2024 16:56:04,gloves,Medline,1,,PPE,,12,18
,,2/9/2024 16:56:04,Intravenous Injection Kit ,BD,3,,Syringe/needles,,12,9
,,2/9/2024 16:56:07,Amplatzer ,No manufacturer listed,5,2/5/2021,Catheters/tubing,,12,28
,,2/9/2024 16:56:20,Glidewire,Radiofocus,2,1/31/2024,Catheters/tubing,,12,28
,,2/9/2024 16:56:55,safety glide needle,BD,1,12/31/2027,Syringe/needles,,12,18
,,2/9/2024 16:56:57,Abdominal Binder,Dale,1,12/12/2900,Hygiene,,12,19
,,2/9/2024 16:57:21,scale,MH,1,,Other,,4,18
,,2/9/2024 16:57:30,O.R. Towel,Medical Action industries,1,8/15/2028,Hygiene,,12,19
,,2/9/2024 16:57:44,REM Polyhesive,Covidien,3,9/30/2025,Other,,12,19
,,2/9/2024 16:58:02,curos 70% IPA,3m,1,3/17/2023,Other,,12,18
,,2/9/2024 16:58:24,Graduated nurser with cap,Mead Johnson ,2,11/1/2027,Other,,12,19
,,2/9/2024 16:58:28,blue clips,,2,,Other,,12,18
,,2/9/2024 16:58:35,Blood Draw Kit,BD,23,,Syringe/needles,,13,9
,,2/9/2024 16:58:37,Hydrocolloid dressing,Comfeel plus transparent,2,12/7/2025,Other,,12,19
,,2/9/2024 16:59:08,Standard Surgical O.R. Towels ,Nova plus,1,6/2/2028,Hygiene,,12,19
,,2/9/2024 17:00:07,Surgical gloves,Molnlycke biogel sensor,1,9/28/2025,PPE,,12,19
,,2/9/2024 17:00:38,"Blood Draw Kits, Orange Cap",,15,,Syringe/needles,,12,9
,,2/9/2024 17:00:40,Catheter Adapter,Addto inc ,9-10,12/12/2900,Catheters/tubing,,12,19
,,2/9/2024 17:00:45,One link needle free IV connector,Baxter,15,,Catheters/tubing,,12,19
,,2/9/2024 17:01:00,PeriVac Kit,Boston Scientific,1,1/18/2023,Surgical,,12,30
,,2/9/2024 17:01:53,Cardboard holders,No manufacturer listed,6,,Other,,12,30
,,2/9/2024 17:02:18,Adhesive wound dressing,3M,18,9/22/2026,Bandages/gauze,,12,19
,,2/9/2024 17:02:21,Bio sample Bags,,4,,Other,,12,30
,,2/9/2024 17:02:24,"Specimen Kit, Orange Cap",BD,21,,Catheters/tubing,,12,9
,,2/9/2024 17:02:28,Security bag,Health Care Logistics inc,11,12/12/2900,Hygiene,,12,19
,,2/9/2024 17:03:04,Needle,Precision Glide,36,10/31/2027,Syringe/needles,,12,19
,,2/9/2024 17:03:17,Spinal needle ,BD,6,3/31/2024,Syringe/needles,,12,19
,,2/9/2024 17:03:51,Filter Funnel,No manufacturer listed,1,12/12/2900,Other,,12,19
,,2/9/2024 17:04:05,MISC Test Tubes ,,70,,Catheters/tubing,,12,9
,,2/9/2024 17:04:24,210mL bottle,Enfamil,1,,Other,,12,19
,,2/9/2024 17:04:28,Urine Collector,No manufacturer listed,18,,Diagnostic,,12,31
,,2/9/2024 17:04:33,3mL applicator,BD,3,,Other,,12,19
,,2/9/2024 17:05:08,Line draw arterial blood sampling kit,Smiths medical,2,2/28/2026,Syringe/needles,,12,19
,,2/9/2024 17:05:09,Blue and white tube,No manufacturer listed,1,,Catheters/tubing,,12,29
,,2/9/2024 17:05:13,Sealable Foil Bags,No manufacturer listed,41,,Other,,12,30
,,2/9/2024 17:05:24,Injection Kit,BD,14,,Syringe/needles,,12,9
,,2/9/2024 17:05:59,Nasal Tube,Amt,1,,Catheters/tubing,,12,19
,,2/9/2024 17:06:14,Balloons,No manufacturer listed,9,,Surgical,,12,29
,,2/9/2024 17:06:33,Powder free exam gloves,Halyard ,15,10/8/2024,PPE,,12,19
,,2/9/2024 17:06:34,Oxygen Mask ,,10,,Surgical,,12,29
,,2/9/2024 17:06:53,4 white tubes with blue mask attached ,No manufacturer listed,4,,Catheters/tubing,,12,29
,,2/9/2024 17:06:55,Fluid path,Rx only,1,10/1/2028,Catheters/tubing,,12,19
,,2/9/2024 17:07:14,Dual lumen stomach lube,Covidien,2,1/1/0001,Other,,12,19
,,2/9/2024 17:07:15,Epump set with flush bag,Covidien ,1,3/31/2024,Other,,12,19
,,2/9/2024 17:07:21,Pippets,,17,,Syringe/needles,,12,9
,,2/9/2024 17:07:40,Lube packet,OneShot,5,7/31/2025,Other,,12,19
,,2/9/2024 17:07:54,Urine Transfer Straw Kit ,,6,,Syringe/needles,,12,9
,,2/9/2024 17:08:18,Blood Draw Kit,BD,12,,Syringe/needles,,12,9
,,2/9/2024 17:08:20,Glidescope,No manufacturer listed,1,10/20/2026,Diagnostic,,12,29
,,2/9/2024 17:08:25,Giant syringes ,BD,4,,Syringe/needles,,12,29
,,2/9/2024 17:08:26,Pediatric Breathing Citcuit,King Systems,9,12/10/2026,Catheters/tubing,,12,29
,,2/9/2024 17:08:26,Censitrac ,No manufacturer listed,1,,Other,,12,19
,,2/9/2024 17:08:34,Probe Well Kit,WelchAllyn,1,12/3/2015,Other,,12,19
,,2/9/2024 17:08:43,Extension set,BD,2,12/1/2026,Catheters/tubing,,12,19
,,2/9/2024 17:08:56,Plain white tubes,No manufacturer listed,6,,Catheters/tubing,,12,29
,,2/9/2024 17:09:06,Steri Drape,3M,2,1/26/2028,Bandages/gauze,,12,19
,,2/9/2024 17:09:12,Test Tubes ,,23,,Catheters/tubing,,12,9
,,2/9/2024 17:09:15,Sample Collection Kit,BD,100,,Catheters/tubing,,12,31
,,2/9/2024 17:09:18,Electrodes,,10,,Diagnostic,,12,29
,,2/9/2024 17:09:42,Percussor,No manufacturer listed,1,5/11/2027,Other,,12,19
,,2/9/2024 17:09:44,Adult General Purpose Foam,Totaltrace,2,8/21/2024,Other,,12,19
,,2/9/2024 17:09:48,Blood Draw Kit ,BD,18,,Syringe/needles,,12,9
,,2/9/2024 17:09:48,Catheter extension set,Baxter,2,,Catheters/tubing,,12,19
,,2/9/2024 17:10:04,Extension set,BD,3,10/4/2024,Catheters/tubing,,12,19
,,2/9/2024 17:10:50,Skinny small tubes,No manufacturer listed,8,,Catheters/tubing,,12,29
,,2/9/2024 17:10:58,PCA administration kit,BD,1,5/6/2025,Catheters/tubing,,12,19
,,2/9/2024 17:10:58,Tubing,,40,,Catheters/tubing,,12,9
,,2/9/2024 17:11:03,Mouthpiece,No manufacturer listed,2,,Surgical,,12,29
,,2/9/2024 17:11:13,Control syringe,Medline,1,,Syringe/needles,,12,19
,,2/9/2024 17:11:33,Petrolatum dressing,Gurad,3,,Other,,12,19
,,2/9/2024 17:11:43,hemostatic dressing ,quickclot,1,8/31/2026,Bandages/gauze,,4,19
,,2/9/2024 17:11:44,3M tape,,3,,Bandages/gauze,,12,29
,,2/9/2024 17:11:45,Tracheal Tube with TaperGuard Cuff,Covidien,4,6/26/2028,Catheters/tubing,,12,29
,,2/9/2024 17:11:47,Test tubes ,No manufacturer listed,3,,Catheters/tubing,,12,29
,,2/9/2024 17:11:54,Urine Collectors ,,3,,Catheters/tubing,,12,9
,,2/9/2024 17:12:10,ISO Drape Isolation Bag,Microtek Medical,1,1/1/2028,Other,,12,19
,,2/9/2024 17:12:26,Breathing circuit components,Care fusion,1,,Catheters/tubing,,12,29
,,2/9/2024 17:12:46,Secure view port,No manufacturer listed,1,,Hygiene,,12,29
,,2/9/2024 17:13:04,Suction safe ,Sonek,1,,Catheters/tubing,,12,29
,,2/9/2024 17:13:05,Pump infusion set,BD,1,7/3/2024,Catheters/tubing,,12,19
,,2/9/2024 17:13:15,Oral/Nasal Tracheal Tube,COVIDIEN,5,8/4/2028,Catheters/tubing,,12,29
,,2/9/2024 17:13:24,GlideScope,ScopeGliders,2,8/9/2024,Other,,12,19
,,2/9/2024 17:13:41,Tubing connector ,Medtronic ,1,6/20/0025,Catheters/tubing,,12,29
,,2/9/2024 17:13:44,petrolatum dressing,curad,2,8/9/2026,Bandages/gauze,,4,19
,,2/9/2024 17:13:49,Balloon,Olympus,3,3/31/2028,Other,,12,19
,,2/9/2024 17:14:31,"PCA administration kit, reusable monoject plunger rod",BD,1,12/6/2024,Other,,12,19
,,2/9/2024 17:14:34,Flexible Yankauer,Coviden ,1,,Catheters/tubing,,12,19
,,2/9/2024 17:14:56,Spinal needle,,4,3/31/2024,Syringe/needles,,12,19
,,2/9/2024 17:15:04,Contact layer silver,Urgo medical ,8,3/30/2026,Bandages/gauze,,12,19
,,2/9/2024 17:15:10,Aerosol Filter Mask,Respan,3,,Other,,12,19
,,2/9/2024 17:15:36,Pump Infusion Set,BD,1,,Surgical,,12,19
,,2/9/2024 17:15:42,Medical bandages,Medline,4,1/1/0001,Bandages/gauze,,12,19
,,2/9/2024 17:16:14,cohesive bandages,med choice ,1,7/14/2026,Bandages/gauze,,4,19
,,2/9/2024 17:16:22,Inner Cannula,Coviden ,1,2/10/2026,Catheters/tubing,,12,19
,,2/9/2024 17:16:32,Suction swab,Stryker,1,3/18/2025,Other,,12,19
,,2/9/2024 17:16:33,soft race small RTL,CONMED,1,7/2/2025,Other,,12,19
,,2/9/2024 17:16:49,Disposable transducer with rotating adaptor,ICP transpac ,1,2/1/2026,Catheters/tubing,,12,19
,,2/9/2024 17:17:24,Ballard Manual Percussor for neonates,Avanos,1,5/11/2027,Other,,12,19
,,2/9/2024 17:17:54,Nasal Cannula,Hudson,1,7/11/2028,Catheters/tubing,,12,19
,,2/9/2024 17:17:59,soft cloth surgical tape,3M,1,1/2/2027,Bandages/gauze,,4,19
,,2/9/2024 17:18:04,Tegaderm,3M,4,1/4/2027,Bandages/gauze,,12,19
,,2/9/2024 17:18:11,Smallbore ext set,ICU Medical,1,10/1/2028,Catheters/tubing,,12,19
,,2/9/2024 17:18:53,Surgicel fibrillar,Ethicon,1,4/30/2026,Bandages/gauze,,12,19
,,2/9/2024 17:18:55,Test tubes ,,600,,Catheters/tubing,,12,32
,,2/9/2024 17:19:11,Swab collection kit ,BD,1,12/31/2023,Diagnostic,,12,19
,,2/9/2024 17:19:37,Hair cover,No manufacturer listed,16,,Hygiene,,12,32
,,2/9/2024 17:20:12,Temperature log tag ,No manufacturer listed,1,,Diagnostic,,12,31
,,2/9/2024 17:20:24,Lawei 200 pack,Lawei,200,,Other,,12,29
,,2/9/2024 17:20:27,Providone iodine swabstick ,PDI,5,,Diagnostic,,12,19
,,2/9/2024 17:20:55,Waist bands ,No manufacturer listed,3,,Bandages/gauze,,12,32
,,2/9/2024 17:20:57,Quilted adult diapers,Cardinal Health,18,,Hygiene,,12,32
,,2/9/2024 17:21:05,Diapers ,No manufacturer listed,6,,Hygiene,,12,32
,,2/9/2024 17:21:11,Waterproof bed cover,No manufacturer listed,,,Hygiene,,12,23
,,2/9/2024 17:21:33,Plain Slides,No manufacturer listed,10,,Diagnostic,,12,31
,,2/9/2024 17:21:40,Blood collection ,No manufacturer listed,1,,Other,,12,32
,,2/9/2024 17:21:52,Syringe,BD,1,4/30/2028,Syringe/needles,,12,19
,,2/9/2024 17:22:04,Medium RTLs,ConMed,20,,Other,,12,32
,,2/9/2024 17:22:09,Retail clothing lane ,No manufacturer listed,1,,Other,,12,32
,,2/9/2024 17:22:17,Blue box,No manufacturer listed,1,,Other,,12,32
,,2/9/2024 17:22:18,Medipore +pad,3M,1,9/22/2026,Other,,12,19
,,2/9/2024 17:22:23,Electrodes,Vermed,Bag ,,Other,,12,32
,,2/9/2024 17:22:46,Mepilex lite,Mölnlycke,2,4/28/2026,Bandages/gauze,,12,19
,,2/9/2024 17:23:01,syringes,BD,2,9/30/2026,Syringe/needles,,12,19
,,2/9/2024 17:24:47,needle,BD,1,10/31/2028,Syringe/needles,,12,19
,,2/9/2024 17:24:54,Feeding Tube,No manufacturer listed,2,3/26/2028,Catheters/tubing,,12,19
,,2/9/2024 17:24:56,Hydrophilic foam dressing,Covidien ,1,6/30/2028,Bandages/gauze,,12,19
,,2/9/2024 17:25:27,Swab specimen collection kit,Aptima,1,5/31/2024,Other,,12,19
,,2/9/2024 17:26:04,Pippetes ,No manufacturer listed,50,,Syringe/needles,,12,34
,,2/9/2024 17:26:06,thermometer probe covers,Hillrom,1,,Other,,12,19
,,2/9/2024 17:26:12,100 other test tubes ,,100,,Catheters/tubing,,12,36
,,2/9/2024 17:26:20,Test Tubes Purple,BD,300,,Catheters/tubing,,12,36
,,2/9/2024 17:26:31,gastronomy feeding tube,avanos,1,4/26/2024,Diagnostic,,12,34
,,2/9/2024 17:26:32,Catheter,No manufacturer listed,1,,Catheters/tubing,,12,36
,,2/9/2024 17:26:46,Bandages,No manufacturer listed,30,,Bandages/gauze,,12,36
,,2/9/2024 17:27:03,Elastic Net,Medline,1,,Bandages/gauze,,12,19
,,2/9/2024 17:27:06,Steri-Strip,No manufacturer listed,2,,Hygiene,,12,19
,,2/9/2024 17:27:16,surgical lubricant,surgilube ,1,9/30/2021,Other,,12,19
,,2/9/2024 17:27:16,needles,koru,35,3/18/2025,Syringe/needles,,12,34
,,2/9/2024 17:27:21,Stax finger splint,No manufacturer listed,2,,Other,,12,19
,,2/9/2024 17:27:27,Assorted Lab Supply,ACM,30,,Catheters/tubing,,12,36
,,2/9/2024 17:27:28,Gauze bandage,Medline,1,,Bandages/gauze,,12,19
,,2/9/2024 17:27:42,Pad ,No manufacturer listed,1,,Hygiene,,12,19
,,2/9/2024 17:27:53,Conforming stretch gaze bandage,Medline,1,,Bandages/gauze,,12,19
,,2/9/2024 17:28:15,disposable syringe,nipro,8,1/31/2028,Syringe/needles,,12,34
,,2/9/2024 17:28:29,Catheter adapter,Addto ,1,,Catheters/tubing,,12,19
,,2/9/2024 17:28:36,pulse oximeter adhesive sensor,Masimo set,1,9/1/2026,Other,,12,19
,,2/9/2024 17:29:04,Orange tape,No manufacturer listed,1,,Bandages/gauze,,12,19
,,2/9/2024 17:29:15,Low pressure stopcock with rotating male collar,Namic,1,,Catheters/tubing,,12,19
,,2/9/2024 17:29:21,Shielded IV Catheter,BD,1,2/28/2026,Catheters/tubing,,12,19
,,2/9/2024 17:29:31,Huggables ECG electrode,conmed,1,6/12/2020,Other,,12,19
,,2/9/2024 17:29:34,surgical masks,3M,20,,PPE,,12,34
,,2/9/2024 17:29:50,Spinal needle ,B Braun,1,8/31/2028,Syringe/needles,,12,19
,,2/9/2024 17:29:50,Packing Gauze ,Fabco,1,9/30/2026,Bandages/gauze,,12,19
,,2/9/2024 17:30:32,Universal articulating loading unit ,Coviden,1,,Surgical,38,12,12
,,2/9/2024 17:30:42,Metal pieces,,8,,Other,,12,19
,,2/9/2024 17:30:46,filter needles,braun,100,8/31/2028,Syringe/needles,,12,34
,,2/9/2024 17:30:49,Clamp ,Covidien,4,,Surgical,,12,38
,,2/9/2024 17:31:10,angiocath,BD,1,6/30/2028,Catheters/tubing,,12,19
,,2/9/2024 17:31:14,4-0 sutures ,No manufacturer listed,10,,Surgical,,12,38
,,2/9/2024 17:31:42,nebulizer,,1,,Other,,12,34
,,2/9/2024 17:31:50,Random wash cloth,No manufacturer listed,,,Bandages/gauze,,12,19
,,2/9/2024 17:32:10,Assorted sutures,,10,,Surgical,,12,38
,,2/9/2024 17:32:15,Adult Dipers,Cardinal Health,36,,Hygiene,,12,37
,,2/9/2024 17:32:29,Coated Vicryl,Ethicon,48,5/1/2023,Surgical,,12,38
,,2/9/2024 17:33:02,Introducer Sheath,Terumo ,12,,Catheters/tubing,,12,37
,,2/9/2024 17:33:08,single port feed extension set,avanos,1,12/6/2025,Catheters/tubing,,12,34
,,2/9/2024 17:33:17,Articulating loading unit,No manufacturer listed,4,,Surgical,,12,38
,,2/9/2024 17:33:30,Silver dressing ,VAC,2,,Other,,12,38
,,2/9/2024 17:34:21,Hydrocolloid Dressing,HollisterWoundcare,5,7/1/2023,Other,,12,38
,,2/9/2024 17:34:27,safety infusion set,miniloc ,2,12/18/2025,Syringe/needles,,12,34
,,2/9/2024 17:34:44,"Tubes, green and purple cap",,400,,Catheters/tubing,,12,37
,,2/9/2024 17:35:01,Pressure guide wire,,3,1/31/2021,Diagnostic,,12,33
,,2/9/2024 17:35:02,staple line reinforcement ,gore,2,9/25/2023,Other,,4,33
,,2/9/2024 17:35:08,Face cover,No manufacturer listed,1,,Hygiene,,12,38
,,2/9/2024 17:35:11,"Thunderbeat 5mm, 35cm front-actuated grip type S",Olympus,1,2/10/2026,Other,,12,33
,,2/9/2024 17:35:26,Epidural catheterization kit,Arrow,1,5/31/2021,Catheters/tubing,,12,33
,,2/9/2024 17:35:26,all purpose sponge ,curity,1,1/31/2026,Bandages/gauze,,12,34
,,2/9/2024 17:35:35,X-RAY detectable gauze sponges,Medline,100,,Surgical,,12,35
,,2/9/2024 17:35:56,Oral Swabette ,Medichoice,12,,Diagnostic,,12,37
,,2/9/2024 17:36:01,IV Sticker,Tegaderm ,1,8/26/2026,Catheters/tubing,,12,34
,,2/9/2024 17:36:11,Spinal needle ,Havels,1,1/16/2024,Syringe/needles,,12,33
,,2/9/2024 17:36:15,vascular retrieval forceps,Cook Med,1,1/22/2024,,,4,33
,,2/9/2024 17:36:28,Chiba biopsy needle,Cook,3,11/27/2023,Syringe/needles,,12,33
,,2/9/2024 17:36:31,Microcatheter ,Stryker,1,,Catheters/tubing,,12,33
,,2/9/2024 17:36:36,dressing change kit,medical action,1,8/31/2024,Hygiene,,12,34
,,2/9/2024 17:36:36,Non sterile barrier,Symmetry surgical,1,12/23/2028,Other,,12,33
,,2/9/2024 17:36:57,catheter exchange,radifocus glideware,1,11/30/2033,Catheters/tubing,,12,33
,,2/9/2024 17:36:59,Ureternal stent set ,Cook Med,1,1/13/2024,Other,,12,33
,,2/9/2024 17:37:14,Dialysis Tube    ,,4,,Catheters/tubing,,12,37
,,2/9/2024 17:37:21,filter extension sets,braun,2,8/2/2026,Syringe/needles,,12,34
,,2/9/2024 17:37:30,Air seal,Conmed,1,6/29/2024,Catheters/tubing,,12,33
,,2/9/2024 17:37:33,Blood Draw Kit,BD,14,,Catheters/tubing,,12,37
,,2/9/2024 17:37:41,Balloon Dilation catheter ,Boston Scientific ,1,1/15/2024,Catheters/tubing,,12,33
,,2/9/2024 17:37:47,Contrast delivery set,Merit Medical,1,1/1/2024,Catheters/tubing,,12,33
,,2/9/2024 17:38:05,Balloon system,Ev3,1,1/15/2024,Other,,12,33
,,2/9/2024 17:38:12,guidewire with ICE Hydrophilic Coating ,Boston Scientific,1,1/27/2024,Catheters/tubing,,4,33
,,2/9/2024 17:38:38,Neuro Guidewire with Hydrophilic coating ,Stryker,2,,Catheters/tubing,,12,33
,,2/9/2024 17:38:38,iv lock,medex,20,2/15/2026,Catheters/tubing,,12,36
,,2/9/2024 17:38:42,Cannula cap,ConMed,1,4/1/2022,Surgical,,12,33
,,2/9/2024 17:38:56,Feeding tube kit ,Avanos,9,1/5/2024,Catheters/tubing,,12,33
,,2/9/2024 17:38:58,,Mentor,3,,Other,,12,33
,,2/9/2024 17:39:13,AngioJet Ultra Power Pulse Kit,Boston Scientific ,2,1/7/2024,Syringe/needles,,12,37
,,2/9/2024 17:39:24,Comfort covers,Allen,1,,Other,,12,33
,,2/9/2024 17:39:38,iv administration sets,braun,1,8/31/2028,Syringe/needles,,12,34
,,2/9/2024 17:39:40,Quick core biopsy needle set,Izi medical,1,9/30/2023,Syringe/needles,,12,33
,,2/9/2024 17:39:57,Biopsy Instrument ,Bard ,2,9/30/2022,Surgical,,12,37
,,2/9/2024 17:40:00,Biliary Balloon Probe,Fogarty,2,1/21/2024,Catheters/tubing,,12,33
